r,f_r
1,5445
2,1548
3,785
4,482
5,314
6,260
7,197
8,158
9,132
10,94
11,82
12,79
13,80
14,53
15,66
16,39
17,35
18,39
19,32
20,27
21,38
22,29
23,22
24,23
25,18
26,26
27,15
28,25
29,16
30,25
31,18
32,16
33,14
34,14
35,18
36,11
37,11
38,9
39,9
40,8
41,9
42,8
43,8
44,7
45,3
46,11
47,7
48,12
49,11
50,8
51,8
52,5
53,11
54,7
55,5
56,7
57,8
58,6
59,6
60,7
61,3
62,6
63,4
64,6
65,6
66,4
67,8
68,3
69,1
70,4
71,4
72,4
73,3
74,6
75,3
76,2
77,2
78,4
79,2
80,3
81,2
82,4
83,1
84,2
85,3
86,4
89,2
90,3
91,2
92,1
93,3
94,2
95,1
96,3
97,1
98,3
99,3
100,1
101,2
102,2
103,2
104,4
105,2
106,4
107,3
110,2
111,1
112,3
113,2
114,2
116,1
117,2
118,1
119,3
120,2
121,2
123,1
124,3
125,1
126,1
127,1
129,3
130,1
131,4
132,1
133,2
134,1
135,4
136,3
138,3
139,2
140,3
141,4
143,1
144,2
146,1
147,2
149,2
150,1
154,1
155,3
157,1
159,1
160,1
162,2
163,2
165,1
167,1
169,2
171,1
172,2
174,2
177,2
180,4
181,2
182,1
183,1
184,1
187,2
189,1
191,3
194,1
195,2
196,1
197,1
198,2
199,1
200,1
201,2
203,2
205,3
208,2
211,1
222,2
224,2
225,1
227,1
230,1
231,1
232,1
233,1
236,1
238,1
243,2
244,1
247,2
254,2
260,2
263,1
265,1
267,1
269,1
272,1
274,1
275,1
276,1
277,2
278,1
280,1
286,2
292,2
295,1
298,1
299,1
300,1
305,1
307,3
312,1
313,3
316,1
322,1
334,1
335,1
338,1
340,1
341,1
347,1
358,1
360,1
362,2
363,2
364,1
365,1
366,1
368,1
369,1
374,1
376,1
385,1
402,2
403,1
407,1
411,1
412,1
414,1
423,1
424,1
426,1
429,1
452,1
455,1
472,1
479,1
480,1
490,1
491,1
495,1
500,1
504,1
508,1
533,1
534,1
541,1
543,1
548,1
555,1
567,1
592,1
593,1
617,1
624,1
641,1
659,1
671,1
679,1
710,1
718,1
727,1
744,1
763,1
785,1
796,1
832,1
835,1
841,1
907,1
915,1
921,1
928,1
956,1
1023,1
1025,1
1038,1
1069,1
1096,1
1113,1
1126,1
1284,1
1363,1
1416,1
1469,1
1499,1
1541,1
1567,1
1611,1
1803,1
1865,1
1879,1
1902,1
1926,1
2026,1
2333,1
2518,1
2615,1
2794,1
3033,1
3109,1
3180,1
3390,1
3430,1
3645,1
4049,1
4146,1
4200,1
4702,1
4920,1
5012,1
5771,1
5901,1
7277,1
7587,1
10720,1
13681,1
13936,1
16028,1
16916,1
18606,1
25034,1
370104,1
