RBC,HCT,HGB,WBC,MCH,MCHC,MCV,RDW-SD,PLT,NEUT,LYMPH,MONO,EOS,BASO,count,percent,percent_cumulative
2,2,2,2,2,2,2,2,2,2,2,2,2,2,307391,42.225082,42.225082
2,2,2,2,2,2,2,2,2,1,2,2,2,2,13549,1.861172,44.086255
2,2,2,2,2,2,2,2,2,2,3,2,2,2,10827,1.487262,45.573517
2,2,2,2,3,2,2,2,2,2,2,2,2,2,10654,1.463498,47.037015
2,2,2,2,2,2,2,2,2,2,4,2,2,2,10438,1.433827,48.470841
2,2,2,2,2,2,2,4,2,2,2,2,2,2,10341,1.420502,49.891343
1,2,2,2,2,2,2,2,2,2,2,2,2,2,9678,1.329428,51.220772
2,2,2,2,2,2,2,3,2,2,2,2,2,2,8961,1.230937,52.451709
2,2,2,2,2,2,2,2,2,2,1,2,2,2,8314,1.142061,53.593770
2,2,2,1,2,2,2,2,2,1,2,2,2,2,6442,0.884912,54.478682
2,2,2,2,2,2,2,2,2,2,2,2,2,1,6421,0.882027,55.360709
2,2,2,2,2,3,2,2,2,2,2,2,2,2,6404,0.879692,56.240402
2,2,2,2,2,2,2,2,2,2,2,2,4,2,5483,0.753178,56.993580
2,2,2,4,2,2,2,2,2,4,2,2,2,2,5185,0.712243,57.705822
2,2,2,2,2,2,2,2,1,2,2,2,2,2,4412,0.606059,58.311881
2,2,2,2,2,2,2,2,2,2,2,2,1,2,4215,0.578998,58.890879
1,1,2,2,2,2,2,2,2,2,2,2,2,2,3877,0.532568,59.423447
2,2,2,2,2,4,2,2,2,2,2,2,2,2,3289,0.451797,59.875244
2,2,2,2,4,2,2,2,2,2,2,2,2,2,3249,0.446302,60.321546
2,2,2,2,2,2,3,2,2,2,2,2,2,2,3218,0.442044,60.763590
2,2,2,2,2,2,2,1,2,2,2,2,2,2,3179,0.436687,61.200277
2,2,2,3,2,2,2,2,2,2,2,2,2,2,3135,0.430643,61.630919
2,2,2,2,2,2,2,2,3,2,2,2,2,2,2944,0.404406,62.035325
0,0,0,2,2,2,2,2,2,2,2,2,2,2,2866,0.393691,62.429016
2,2,2,2,2,2,2,2,2,2,2,2,3,2,2734,0.375559,62.804575
2,2,2,2,2,1,2,2,2,2,2,2,2,2,2581,0.354542,63.159117
2,2,2,2,3,2,3,2,2,2,2,2,2,2,2360,0.324184,63.483300
2,1,2,2,2,2,2,2,2,2,2,2,2,2,2238,0.307425,63.790726
0,1,2,2,2,2,2,2,2,2,2,2,2,2,2208,0.303304,64.094030
2,2,2,2,2,2,2,2,2,2,2,3,2,2,2208,0.303304,64.397334
0,0,1,2,2,2,2,2,2,2,2,2,2,2,2168,0.297810,64.695144
2,2,2,2,2,2,2,2,4,2,2,2,2,2,2000,0.274732,64.969876
2,3,2,2,2,2,2,2,2,2,2,2,2,2,1997,0.274320,65.244196
1,2,2,2,3,2,2,2,2,2,2,2,2,2,1918,0.263468,65.507664
2,2,2,3,2,2,2,2,2,3,2,2,2,2,1890,0.259622,65.767285
2,2,2,1,2,2,2,2,2,2,2,2,2,2,1884,0.258798,66.026083
0,0,0,2,2,2,2,4,2,2,2,2,2,2,1548,0.212643,66.238726
2,2,2,4,2,2,2,2,2,2,4,2,2,2,1516,0.208247,66.446973
2,2,2,2,2,2,2,2,0,2,2,2,2,2,1461,0.200692,66.647664
2,2,2,3,2,2,2,2,2,2,4,2,2,2,1460,0.200554,66.848219
2,2,2,2,3,3,2,2,2,2,2,2,2,2,1377,0.189153,67.037372
2,2,2,2,2,2,1,2,2,2,2,2,2,2,1306,0.179400,67.216772
2,2,2,2,2,2,2,2,2,3,2,2,2,2,1229,0.168823,67.385595
2,2,2,2,2,2,2,2,2,2,2,4,2,2,1192,0.163740,67.549335
2,2,2,2,3,4,2,2,2,2,2,2,2,2,1182,0.162367,67.711702
1,2,2,2,4,2,2,2,2,2,2,2,2,2,1180,0.162092,67.873794
2,2,2,2,2,2,3,4,2,2,2,2,2,2,1166,0.160169,68.033962
2,2,2,2,4,2,3,2,2,2,2,2,2,2,1165,0.160031,68.193994
2,2,2,2,2,2,2,2,2,2,2,2,2,3,1151,0.158108,68.352102
2,2,2,2,2,2,2,2,2,2,2,2,2,4,1127,0.154812,68.506914
2,2,2,4,2,2,2,2,2,4,2,4,2,2,1112,0.152751,68.659665
2,2,2,2,2,2,2,2,2,2,0,2,2,2,1053,0.144646,68.804311
0,2,2,2,4,2,4,4,2,2,2,2,2,2,1048,0.143960,68.948271
2,2,2,2,2,0,2,2,2,2,2,2,2,2,1045,0.143548,69.091818
2,2,2,4,2,2,2,2,2,3,2,2,2,2,1029,0.141350,69.233168
1,2,2,2,2,2,2,4,2,2,2,2,2,2,1006,0.138190,69.371358
2,2,2,3,2,2,2,2,2,4,2,2,2,2,972,0.133520,69.504878
2,2,2,2,4,2,4,2,2,2,2,2,2,2,935,0.128437,69.633315
1,1,1,2,2,2,2,2,2,2,2,2,2,2,932,0.128025,69.761340
2,0,0,2,0,0,0,2,2,2,2,2,2,2,914,0.125553,69.886893
3,2,2,2,2,2,2,2,2,2,2,2,2,2,890,0.122256,70.009149
0,0,2,2,2,2,2,2,2,2,2,2,2,2,873,0.119921,70.129069
0,1,1,2,2,2,2,2,2,2,2,2,2,2,872,0.119783,70.248852
2,2,2,2,2,2,3,3,2,2,2,2,2,2,862,0.118410,70.367262
2,2,2,4,2,2,2,2,2,2,2,2,2,2,836,0.114838,70.482100
2,2,2,2,4,2,4,4,2,2,2,2,2,2,809,0.111129,70.593229
2,2,2,2,3,2,4,2,2,2,2,2,2,2,801,0.110030,70.703259
2,2,2,1,2,2,2,2,2,2,1,2,2,2,790,0.108519,70.811778
2,2,2,2,1,2,2,2,2,2,2,2,2,2,783,0.107558,70.919336
2,2,2,2,2,2,2,2,2,2,1,2,1,2,760,0.104398,71.023734
2,2,2,4,2,2,2,2,2,4,2,3,2,2,731,0.100415,71.124149
2,1,1,2,2,2,2,2,2,2,2,2,2,2,729,0.100140,71.224289
1,2,2,2,2,2,2,3,2,2,2,2,2,2,725,0.099590,71.323879
2,2,2,2,3,2,4,4,2,2,2,2,2,2,711,0.097667,71.421546
2,2,2,1,2,2,2,2,2,0,2,2,2,2,705,0.096843,71.518389
2,2,3,2,2,2,2,2,2,2,2,2,2,2,698,0.095881,71.614271
2,2,2,3,2,2,2,2,2,2,3,2,2,2,695,0.095469,71.709740
2,2,2,2,2,1,2,4,2,2,2,2,2,2,693,0.095195,71.804935
