thr,C,cov90,per10k,deltaC_pct_vs_argmax
0.0,15850,603,217.73,-60.74
0.05,33970,1637,466.63,-15.87
0.08,37848,2048,519.9,-6.26
0.09,38389,2088,527.33,-4.92
0.1,39141,2162,537.66,-3.06
0.11,39540,2189,543.15,-2.07
0.12,39507,2174,542.69,-2.15
0.13,40309,2220,553.71,-0.17
0.14,40376,2199,554.63,0.0
0.15,40345,2180,554.2,-0.08
0.16,40128,2130,551.22,-0.61
0.17,39904,2087,548.15,-1.17
0.18,39593,2044,543.87,-1.94
0.19,39285,1977,539.64,-2.7
0.2,39017,1943,535.96,-3.37
0.21,38724,1893,531.94,-4.09
0.22,38316,1829,526.33,-5.1
0.25,37128,1674,510.01,-8.04
0.4,31795,1131,436.76,-21.25
0.5,29234,933,401.58,-27.6
