r,f_r
1,7880
2,2087
3,1103
4,618
5,440
6,302
7,263
8,195
9,155
10,123
11,96
12,119
13,100
14,85
15,69
16,53
17,38
18,47
19,43
20,38
21,33
22,33
23,35
24,25
25,27
26,22
27,33
28,27
29,20
30,22
31,15
32,14
33,20
34,16
35,15
36,9
37,9
38,19
39,17
40,11
41,10
42,9
43,11
44,4
45,17
46,10
47,17
48,5
49,5
50,10
51,9
52,7
53,11
54,6
55,12
56,6
57,8
58,7
59,6
60,8
61,10
62,5
63,4
64,2
65,4
66,3
67,1
68,7
69,5
70,5
71,5
72,4
73,6
74,4
75,3
76,4
77,4
78,5
79,4
80,4
81,5
82,8
83,3
84,1
85,1
86,2
87,6
88,3
89,2
90,4
91,6
92,2
93,4
94,4
95,1
96,1
97,3
98,4
99,2
100,3
101,2
103,1
104,1
106,2
107,3
108,3
109,3
110,2
111,3
112,1
113,2
114,6
115,3
116,3
117,1
118,1
119,2
121,1
122,2
123,1
124,2
125,2
126,1
127,3
128,3
129,2
131,3
132,3
133,4
134,3
135,4
136,5
137,3
138,1
139,1
141,1
143,2
144,1
145,1
146,1
147,1
148,1
149,1
151,2
152,2
158,2
159,1
160,5
161,1
162,1
165,2
166,3
167,1
168,1
169,1
170,1
172,1
173,1
175,1
176,3
177,1
180,1
181,1
182,1
184,1
185,2
187,1
189,1
190,1
191,1
192,1
193,1
196,1
198,3
199,1
200,1
201,1
203,1
204,1
208,1
209,1
211,1
213,2
214,1
217,1
219,1
221,1
222,2
223,1
224,3
226,1
228,2
229,1
232,1
234,2
235,1
240,1
243,1
244,1
249,1
250,2
253,1
254,1
256,1
257,2
259,1
260,1
261,1
265,1
268,1
269,2
270,1
272,1
276,2
277,2
281,1
283,1
289,2
290,1
293,2
298,1
299,1
301,3
304,1
309,1
310,1
314,1
319,1
320,1
321,1
331,1
333,1
335,1
343,1
346,1
351,3
353,1
354,1
357,1
364,1
365,1
372,2
392,1
394,1
397,1
402,1
409,1
419,1
420,1
424,1
434,1
437,1
441,1
443,1
452,1
458,1
469,1
470,1
474,1
479,1
483,1
501,1
509,1
523,1
532,1
536,1
539,1
550,2
573,2
597,1
611,1
612,1
620,1
637,1
646,1
653,1
684,1
685,1
702,1
734,1
762,1
765,1
771,1
781,1
804,1
813,1
828,1
864,1
881,1
885,1
888,1
899,1
902,2
969,1
979,1
984,1
1011,1
1092,1
1197,1
1225,1
1243,1
1262,1
1345,1
1406,1
1447,1
1448,1
1463,1
1506,1
1781,1
1816,1
1821,1
1864,1
1881,1
1912,1
2281,2
2406,1
2459,1
2469,1
2627,1
2715,1
2941,1
3035,1
3201,1
3291,1
3478,1
3765,1
3891,1
4022,1
4141,1
4567,1
4633,1
5640,1
5691,1
6272,1
6774,1
8234,1
9726,1
12335,1
12674,1
13248,1
16147,1
16509,1
17886,1
362852,1
