,RBC,HCT,HGB,MCV,MCH,MCHC,RDW-SD,PLT,WBC,NEUT,LYMPH,MONO,EOS,BASO
RBC,1.0,0.8910329650432199,0.8409058915789324,-0.3844693200524104,-0.2560121719790966,0.10535127977676143,-0.4001110230557847,0.03076695398382439,-0.042345911322988844,-0.11038434739541797,0.04146081396511865,-0.006497711770335798,0.054798233026181385,0.015457374634403451
HCT,0.8910329650432199,1.0,0.9605894908425309,0.0691247392708963,0.14348774120419786,0.19314991458933278,-0.2659295369385368,-0.043526727776838456,-0.03065567964200555,-0.10773109926156849,0.05119004593526881,0.003830677377303293,0.06272465455227069,0.017562834158758464
HGB,0.8409058915789324,0.9605894908425309,1.0,0.09832109515338884,0.29877444257012725,0.45229388688398803,-0.3435896264110408,-0.09551215260557978,-0.04635707067775586,-0.11296796805697315,0.03776620611637038,-0.0028438168668017366,0.046621835016881746,0.0058088061964274365
MCV,-0.3844693200524104,0.0691247392708963,0.09832109515338884,1.0,0.864855364368237,0.16562447367786604,0.36696239765556066,-0.1609785201961457,0.0362745607404262,0.025086878838080928,0.015779955562325067,0.02331562971461934,-0.0011677891543727238,-0.01997744727791924
MCH,-0.2560121719790966,0.14348774120419786,0.29877444257012725,0.864855364368237,1.0,0.6324477571337259,0.11137591137585387,-0.22795465333560716,-0.006435310031688192,-0.004275528575287663,-0.006882812578333722,0.0054419376784306224,-0.020936821813087057,-0.033421263016568906
MCHC,0.10535127977676143,0.19314991458933278,0.45229388688398803,0.16562447367786604,0.6324477571337259,1.0,-0.3606970206749101,-0.2020406536767413,-0.06429579123245721,-0.04814090615921378,-0.033525971815692314,-0.028961470275550266,-0.057092791485432066,-0.07719878354195926
RDW-SD,-0.4001110230557847,-0.2659295369385368,-0.3435896264110408,0.36696239765556066,0.11137591137585387,-0.3606970206749101,1.0,-0.009422053901344792,0.11441972807710993,0.13684469357875506,0.008738784417102494,0.07516058625841877,0.03680977982762685,0.03184474277217732
PLT,0.03076695398382439,-0.043526727776838456,-0.09551215260557978,-0.1609785201961457,-0.22795465333560716,-0.2020406536767413,-0.009422053901344792,1.0,0.12319631137015163,0.1626936478020206,0.045900585032172085,0.029459272301559918,0.09058576422176551,0.0878682733495687
WBC,-0.042345911322988844,-0.03065567964200555,-0.04635707067775586,0.0362745607404262,-0.006435310031688192,-0.06429579123245721,0.11441972807710993,0.12319631137015163,1.0,0.6351689544246051,0.716993739662146,0.489506959293742,0.12290578912028455,0.26337657976706924
NEUT,-0.11038434739541797,-0.10773109926156849,-0.11296796805697315,0.025086878838080928,-0.004275528575287663,-0.04814090615921378,0.13684469357875506,0.1626936478020206,0.6351689544246051,1.0,0.03903395831762543,0.20904448885461,0.045372324214272404,0.25989208808437614
LYMPH,0.04146081396511865,0.05119004593526881,0.03776620611637038,0.015779955562325067,-0.006882812578333722,-0.033525971815692314,0.008738784417102494,0.045900585032172085,0.716993739662146,0.03903395831762543,1.0,0.2482511143483211,0.05963838629306332,0.08994291838468162
MONO,-0.006497711770335798,0.003830677377303293,-0.0028438168668017366,0.02331562971461934,0.0054419376784306224,-0.028961470275550266,0.07516058625841877,0.029459272301559918,0.489506959293742,0.20904448885461,0.2482511143483211,1.0,0.07102956856122618,0.13753020327317292
EOS,0.054798233026181385,0.06272465455227069,0.046621835016881746,-0.0011677891543727238,-0.020936821813087057,-0.057092791485432066,0.03680977982762685,0.09058576422176551,0.12290578912028455,0.045372324214272404,0.05963838629306332,0.07102956856122618,1.0,0.3056163021278453
BASO,0.015457374634403451,0.017562834158758464,0.0058088061964274365,-0.01997744727791924,-0.033421263016568906,-0.07719878354195926,0.03184474277217732,0.0878682733495687,0.26337657976706924,0.25989208808437614,0.08994291838468162,0.13753020327317292,0.3056163021278453,1.0
