,RBC,HCT,HGB,MCV,MCH,MCHC,RDW-SD,PLT,WBC,NEUT,LYMPH,MONO,EOS,BASO
RBC,1.0,0.8865223112338828,0.8440856388974614,-0.38275198083629375,-0.2704133100098266,0.09928622744282603,-0.37379100173493285,0.030026747446868514,0.008571599345475252,-0.06199283925106318,0.1917944936306166,0.07013901837370315,0.11792013982773815,0.0948637465994952
HCT,0.8865223112338828,1.0,0.958406322121671,0.031633097647992846,0.0797279561862433,0.1431900813380905,-0.21598213982297174,-0.034682549957764736,0.015326443699867413,-0.060944190146302056,0.19581114272473635,0.09700891966069049,0.13029217673251117,0.10849099837527668
HGB,0.8440856388974614,0.958406322121671,1.0,0.031201929623600085,0.2182358548521252,0.3936708233756926,-0.3005265183996321,-0.0757771657429774,-0.0049121414870028635,-0.07704200690062729,0.17994910434071795,0.07823426095158313,0.10962096690909533,0.07737199505311972
MCV,-0.38275198083629375,0.031633097647992846,0.031201929623600085,1.0,0.8129833364089367,0.02337388326519441,0.4508420204137073,-0.13642015078765005,0.01865774282456628,0.022081268272199816,-0.03213833634934535,0.0495439881573571,0.007604465701384918,0.016767498523098914
MCH,-0.2704133100098266,0.0797279561862433,0.2182358548521252,0.8129833364089367,1.0,0.5453166088392175,0.18734238492046618,-0.20233516678664562,-0.01341418969780116,-0.010836329372984151,-0.03461968060119366,0.02234017536829586,-0.020817981305256077,-0.03501208529481972
MCHC,0.09928622744282603,0.1431900813380905,0.3936708233756926,0.02337388326519441,0.5453166088392175,1.0,-0.3668903668749899,-0.17550303095612296,-0.04641590570911535,-0.05166961648707507,0.0004375107138697578,-0.03639682385317587,-0.0466959788604325,-0.09035008333673819
RDW-SD,-0.37379100173493285,-0.21598213982297174,-0.3005265183996321,0.4508420204137073,0.18734238492046618,-0.3668903668749899,1.0,-0.029879079119636817,0.12383575173106955,0.14384019896091266,-0.057014538788719565,0.14579082833801743,0.04103048017449901,0.07166010129671223
PLT,0.030026747446868514,-0.034682549957764736,-0.0757771657429774,-0.13642015078765005,-0.20233516678664562,-0.17550303095612296,-0.029879079119636817,1.0,0.24421603327337732,0.19135814944162408,0.22996942046587812,0.1454242573403178,0.12099141947496075,0.24495468974344944
WBC,0.008571599345475252,0.015326443699867413,-0.0049121414870028635,0.01865774282456628,-0.01341418969780116,-0.04641590570911535,0.12383575173106955,0.24421603327337732,1.0,0.8970964191384875,0.4864202496174963,0.6383594189610773,0.22441707558462254,0.3108296735706459
NEUT,-0.06199283925106318,-0.060944190146302056,-0.07704200690062729,0.022081268272199816,-0.010836329372984151,-0.05166961648707507,0.14384019896091266,0.19135814944162408,0.8970964191384875,1.0,0.13241838913422208,0.5098496545006386,0.07818822885150607,0.1938290722124305
LYMPH,0.1917944936306166,0.19581114272473635,0.17994910434071795,-0.03213833634934535,-0.03461968060119366,0.0004375107138697578,-0.057014538788719565,0.22996942046587812,0.4864202496174963,0.13241838913422208,1.0,0.3139706071510191,0.24499311721060155,0.2787682180163609
MONO,0.07013901837370315,0.09700891966069049,0.07823426095158313,0.0495439881573571,0.02234017536829586,-0.03639682385317587,0.14579082833801743,0.1454242573403178,0.6383594189610773,0.5098496545006386,0.3139706071510191,1.0,0.24233842528044802,0.2792572333444896
EOS,0.11792013982773815,0.13029217673251117,0.10962096690909533,0.007604465701384918,-0.020817981305256077,-0.0466959788604325,0.04103048017449901,0.12099141947496075,0.22441707558462254,0.07818822885150607,0.24499311721060155,0.24233842528044802,1.0,0.4126024349270335
BASO,0.0948637465994952,0.10849099837527668,0.07737199505311972,0.016767498523098914,-0.03501208529481972,-0.09035008333673819,0.07166010129671223,0.24495468974344944,0.3108296735706459,0.1938290722124305,0.2787682180163609,0.2792572333444896,0.4126024349270335,1.0
